version,marca,modelo,costo_proveedor_usd,costo_real_usd,escalon_desde,escalon_hasta,margen_objetivo,precio_usd,margen_real,ajustado_anticolapso
v2026-08,Elfbar,TE 30K,8.50,9.6050,20,49,0.28,13.50,0.2885,no
v2026-08,Elfbar,TE 30K,8.50,9.6050,50,99,0.24,13.00,0.2612,no
v2026-08,Elfbar,TE 30K,8.50,9.6050,100,199,0.21,12.50,0.2316,no
v2026-08,Elfbar,TE 30K,8.50,9.6050,200,,0.18,12.00,0.1996,no
v2026-08,Elfbar,GH 23K,8.80,9.9440,20,49,0.28,14.00,0.2897,no
v2026-08,Elfbar,GH 23K,8.80,9.9440,50,99,0.24,13.50,0.2634,no
v2026-08,Elfbar,GH 23K,8.80,9.9440,100,199,0.21,13.00,0.2351,no
v2026-08,Elfbar,GH 23K,8.80,9.9440,200,,0.18,12.50,0.2045,no
v2026-08,Elfbar,40K Trio,9.50,10.7350,20,49,0.28,15.00,0.2843,no
v2026-08,Elfbar,40K Trio,9.50,10.7350,50,99,0.24,14.50,0.2597,no
v2026-08,Elfbar,40K Trio,9.50,10.7350,100,199,0.21,14.00,0.2332,no
v2026-08,Elfbar,40K Trio,9.50,10.7350,200,,0.18,13.50,0.2048,no
v2026-08,Elfbar,40K Sour King,9.50,10.7350,20,49,0.28,15.00,0.2843,no
v2026-08,Elfbar,40K Sour King,9.50,10.7350,50,99,0.24,14.50,0.2597,no
v2026-08,Elfbar,40K Sour King,9.50,10.7350,100,199,0.21,14.00,0.2332,no
v2026-08,Elfbar,40K Sour King,9.50,10.7350,200,,0.18,13.50,0.2048,no
v2026-08,Elfbar,40K Ice King,9.75,11.0175,20,49,0.28,15.50,0.2892,no
v2026-08,Elfbar,40K Ice King,9.75,11.0175,50,99,0.24,14.50,0.2402,no
v2026-08,Elfbar,40K Ice King,9.75,11.0175,100,199,0.21,14.00,0.2130,no
v2026-08,Elfbar,40K Ice King,9.75,11.0175,200,,0.18,13.50,0.1839,no
v2026-08,Elfbar,40K Sweet King,9.75,11.0175,20,49,0.28,15.50,0.2892,no
v2026-08,Elfbar,40K Sweet King,9.75,11.0175,50,99,0.24,14.50,0.2402,no
v2026-08,Elfbar,40K Sweet King,9.75,11.0175,100,199,0.21,14.00,0.2130,no
v2026-08,Elfbar,40K Sweet King,9.75,11.0175,200,,0.18,13.50,0.1839,no
v2026-08,Ignite,V150 Black,7.50,8.4750,20,49,0.28,12.00,0.2938,no
v2026-08,Ignite,V150 Black,7.50,8.4750,50,99,0.24,11.50,0.2630,no
v2026-08,Ignite,V150 Black,7.50,8.4750,100,199,0.21,11.00,0.2295,no
v2026-08,Ignite,V150 Black,7.50,8.4750,200,,0.18,10.50,0.1929,no
v2026-08,Ignite,V150 Pro,8.00,9.0400,20,49,0.28,13.00,0.3046,no
v2026-08,Ignite,V150 Pro,8.00,9.0400,50,99,0.24,12.00,0.2467,no
v2026-08,Ignite,V150 Pro,8.00,9.0400,100,199,0.21,11.50,0.2139,no
v2026-08,Ignite,V150 Pro,8.00,9.0400,200,,0.18,11.00,0.1782,si
v2026-08,Ignite,V250,10.00,11.3000,20,49,0.28,16.00,0.2938,no
v2026-08,Ignite,V250,10.00,11.3000,50,99,0.24,15.00,0.2467,no
v2026-08,Ignite,V250,10.00,11.3000,100,199,0.21,14.50,0.2207,no
v2026-08,Ignite,V250,10.00,11.3000,200,,0.18,14.00,0.1929,no
v2026-08,Ignite,V300,10.50,11.8650,20,49,0.28,16.50,0.2809,no
v2026-08,Ignite,V300,10.50,11.8650,50,99,0.24,16.00,0.2584,no
v2026-08,Ignite,V300,10.50,11.8650,100,199,0.21,15.50,0.2345,no
v2026-08,Ignite,V300,10.50,11.8650,200,,0.18,14.50,0.1817,no
v2026-08,Ignite,V400 Ice,10.50,11.8650,20,49,0.28,16.50,0.2809,no
v2026-08,Ignite,V400 Ice,10.50,11.8650,50,99,0.24,16.00,0.2584,no
v2026-08,Ignite,V400 Ice,10.50,11.8650,100,199,0.21,15.50,0.2345,no
v2026-08,Ignite,V400 Ice,10.50,11.8650,200,,0.18,14.50,0.1817,no
v2026-08,Ignite,V400 Sweet,10.50,11.8650,20,49,0.28,16.50,0.2809,no
v2026-08,Ignite,V400 Sweet,10.50,11.8650,50,99,0.24,16.00,0.2584,no
v2026-08,Ignite,V400 Sweet,10.50,11.8650,100,199,0.21,15.50,0.2345,no
v2026-08,Ignite,V400 Sweet,10.50,11.8650,200,,0.18,14.50,0.1817,no
v2026-08,Ignite,V300 Ultra Slim,11.00,12.4300,20,49,0.28,17.50,0.2897,no
v2026-08,Ignite,V300 Ultra Slim,11.00,12.4300,50,99,0.24,16.50,0.2467,no
v2026-08,Ignite,V300 Ultra Slim,11.00,12.4300,100,199,0.21,16.00,0.2231,no
v2026-08,Ignite,V300 Ultra Slim,11.00,12.4300,200,,0.18,15.50,0.1981,no
v2026-08,Ignite,V400 V-Mix,11.50,12.9950,20,49,0.28,18.50,0.2976,no
v2026-08,Ignite,V400 V-Mix,11.50,12.9950,50,99,0.24,17.50,0.2574,no
v2026-08,Ignite,V400 V-Mix,11.50,12.9950,100,199,0.21,16.50,0.2124,no
v2026-08,Ignite,V400 V-Mix,11.50,12.9950,200,,0.18,16.00,0.1878,no
v2026-08,Lost Mary,MO 20K,6.50,7.3450,20,49,0.28,10.50,0.3005,no
v2026-08,Lost Mary,MO 20K,6.50,7.3450,50,99,0.24,10.00,0.2655,no
v2026-08,Lost Mary,MO 20K,6.50,7.3450,100,199,0.21,9.50,0.2268,no
v2026-08,Lost Mary,MO 20K,6.50,7.3450,200,,0.18,9.00,0.1839,no
v2026-08,Lost Mary,Mixer 30K,8.50,9.6050,20,49,0.28,13.50,0.2885,no
v2026-08,Lost Mary,Mixer 30K,8.50,9.6050,50,99,0.24,13.00,0.2612,no
v2026-08,Lost Mary,Mixer 30K,8.50,9.6050,100,199,0.21,12.50,0.2316,no
v2026-08,Lost Mary,Mixer 30K,8.50,9.6050,200,,0.18,12.00,0.1996,no
v2026-08,Lost Mary,Dura 35K,9.00,10.1700,20,49,0.28,14.50,0.2986,no
v2026-08,Lost Mary,Dura 35K,9.00,10.1700,50,99,0.24,13.50,0.2467,no
v2026-08,Lost Mary,Dura 35K,9.00,10.1700,100,199,0.21,13.00,0.2177,no
v2026-08,Lost Mary,Dura 35K,9.00,10.1700,200,,0.18,12.50,0.1864,no
v2026-08,Lost Mary,MT 35K,9.00,10.1700,20,49,0.28,14.50,0.2986,no
v2026-08,Lost Mary,MT 35K,9.00,10.1700,50,99,0.24,13.50,0.2467,no
v2026-08,Lost Mary,MT 35K,9.00,10.1700,100,199,0.21,13.00,0.2177,no
v2026-08,Lost Mary,MT 35K,9.00,10.1700,200,,0.18,12.50,0.1864,no
v2026-08,Nikbar,40K Ice Nic / Triple Chill,9.00,10.1700,20,49,0.28,14.50,0.2986,no
v2026-08,Nikbar,40K Ice Nic / Triple Chill,9.00,10.1700,50,99,0.24,13.50,0.2467,no
v2026-08,Nikbar,40K Ice Nic / Triple Chill,9.00,10.1700,100,199,0.21,13.00,0.2177,no
v2026-08,Nikbar,40K Ice Nic / Triple Chill,9.00,10.1700,200,,0.18,12.50,0.1864,no
